Plot,Sub,Flag,pid,area_ac,bnd_km
4,,,650,0.396,225.210
5,,,651,0.199,0.000
5,,,652,1.053,0.000
5,,,653,3.206,153.962
6,,,654,2.018,0.000
6,,,655,5.910,0.000
6,,,656,2.769,221.797
6,,,657,2.243,330.961
7,,,658,4.329,48.043
7,,,659,4.800,0.000
8,,,660,11.501,106.749
9,,,661,6.185,346.298
9,,,662,6.423,162.941
9,,,663,1.825,304.839
9,,,664,2.509,383.804
10,,,665,4.124,330.541
10,,,666,9.691,465.887
53,,,667,3.476,541.101
53,,,668,4.168,625.359
57,,,669,0.326,0.000
57,,,670,0.353,0.000
58,,,671,0.799,243.644
58,,,672,1.082,146.721
58,,,673,4.337,0.000
58,,,674,2.686,85.066
67,,,675,12.070,0.000
58,,,676,2.092,175.486
66,,,677,6.357,133.981
58,,,678,1.241,85.376
59,,,679,1.998,253.248
65,,,680,8.314,214.587
65,,,681,1.565,295.686
59,,,682,1.278,318.154
59,,,683,1.062,339.428
65,,,684,1.760,295.351
65,,,685,4.840,201.958
59,,,686,0.310,203.346
68,,,687,8.888,0.000
59,,,688,1.176,451.775
59,,,689,1.114,396.089
65,,,690,1.673,297.121
69,,,691,2.156,375.314
69,,,692,4.517,249.618
65,,,693,2.787,210.325
69,,,694,0.698,380.732
69,,,695,0.836,210.325
69,,,696,2.387,220.726
72,,,697,0.546,224.048
72,,,698,0.600,224.047
72,,,699,0.249,361.547
70,,,700,8.108,220.726
70,,,701,9.087,0.000
75,,,702,1.249,0.000
71,,,703,9.167,0.000
72,,,704,6.626,216.959
73,,,705,7.457,0.000
73,,,706,6.312,70.659
73,,,707,8.283,167.593
73,,,708,1.657,325.907
73,,,709,4.682,283.468
75,,,710,1.245,0.000
75,,,711,0.233,183.187
75,,,712,0.721,0.000
75,,,713,0.336,221.408
75,,,714,0.515,277.699
76,,,715,13.459,0.000
136,,,716,97.592,0.000
136,,,717,1.294,0.000
136,,,718,5.339,0.000
136,,,719,0.904,152.071
136,,,720,4.419,153.380
136,,,721,2.917,441.185
136,,,722,5.800,637.626
136,,,723,2.411,0.000
136,,,724,6.096,64.464
136,,,725,6.195,0.000
136,,,726,8.156,272.351
77,,,727,3.706,306.211
77,,,728,4.677,290.685
74,,,729,1.243,444.043
74,,,730,1.412,419.803
74,,,731,3.773,391.190
74,,,732,2.913,363.418
82,,,733,10.210,397.215
78,,,734,2.824,676.853
78,,,735,1.888,498.256
77,,,736,9.037,330.942
78,,,737,5.688,528.664
78,,,738,1.526,470.136
81,,,739,5.729,591.010
81,,,740,0.716,717.540
81,,,741,0.819,695.804
81,,,742,0.348,767.829
81,,,743,0.425,706.644
81,,,744,1.429,728.789
81,,,745,1.560,785.212
79,,,746,2.116,509.880
79,,,747,1.655,575.227
79,,,748,1.699,633.095
79,,,749,2.034,685.226
79,,,750,0.466,754.410
79,,,751,1.025,759.467
79,,,752,0.526,802.855
79,,,753,0.834,819.011
79,,,754,0.872,841.970
80,,,755,0.414,853.775
80,,,756,0.203,810.094
80,,,757,1.137,800.880
127,,,758,0.150,895.520
127,,,759,2.195,871.790
127,,,760,0.655,871.576
127,,,761,0.645,871.790
127,,,762,0.545,871.602
127,,,763,0.875,918.426
78,,,764,4.282,765.867
135,,,765,9.201,770.455
133,,,766,4.127,1127.040
132,,,767,9.480,1189.160
134,,,768,15.772,871.913
136,,,769,4.373,876.569
143,,,770,2.672,430.798
143,,,771,1.661,503.247
149,,,772,7.257,0.000
162,,,773,3.171,384.840
149,,,774,11.332,343.880
771,,,775,1.849,500.550
771,,,776,2.612,521.955
771,,,777,1.258,577.867
162,,,778,3.237,380.252
163,,,779,0.598,380.267
163,,,780,2.370,380.267
163,,,781,2.703,385.278
163,,,782,3.156,394.543
771,,,783,1.282,589.339
771,,,784,1.515,605.722
164,,,785,3.123,399.248
164,,,786,6.540,390.326
146,,,787,0.382,370.879
146,,,788,1.865,332.104
146,,,789,1.943,269.208
146,,,790,0.526,218.881
148,,,791,35.145,0.000
143,,,792,1.219,578.667
147,,,793,18.321,54.153
146,,,794,1.262,203.288
146,,,795,0.634,211.429
144,,,796,0.318,415.835
146,,,797,2.109,210.381
145,,,798,5.636,261.080
142,,,799,1.197,509.078
144,,,800,7.086,350.014
141,,,801,10.480,430.186
765,,,802,2.304,646.549
766,,,803,0.610,704.954
766,,,804,4.443,663.959
142,,,805,7.525,543.520
767,,,806,0.403,767.426
767,,,807,0.873,780.817
767,,,808,1.138,825.704
767,,,809,0.893,882.268
767,,,810,0.423,956.517
767,,,811,0.456,927.337
768,,,812,3.279,759.348
137,,,813,94.793,0.000
770,,,814,0.984,901.235
770,,,815,2.104,938.795
769,,,816,0.298,1018.290
769,,,817,1.506,883.149
769,,,818,1.035,969.145
769,,,819,0.708,971.530
769,,,820,0.992,945.500
139,,,821,1.322,995.626
769,,,822,3.828,759.348
764,,,823,3.400,784.368
764,,,824,7.157,953.799
187,,,825,4.329,841.722
151,,,826,1.960,0.000
150,,,827,4.812,0.000
160,,,828,3.373,242.575
160,,,829,3.422,243.332
158,,,830,11.060,149.166
155,,,831,11.563,0.000
154,,,832,6.762,78.106
157,,,833,6.328,0.000
153,,,834,13.867,0.000
152,,,835,2.052,0.000
156,,,836,3.183,0.000
156,,,837,3.200,0.000
156,,,838,6.210,0.000
159,,,839,5.140,0.000
159,,,840,4.443,0.000
159,,,841,5.324,0.000
159,,,842,3.542,107.763
159,,,843,6.451,0.000
159,,,844,3.626,58.300
159,,,845,4.476,53.411
159,,,846,3.033,161.284
159,,,847,8.011,164.876
159,,,848,21.232,147.173
161,,,849,1.868,356.749
188,,,850,30.498,0.000
190,,,851,4.650,195.880
190,,,852,10.667,0.000
187,,,853,7.250,328.077
166,,,854,0.498,398.650
166,,,855,2.632,521.283
189,,,856,5.494,0.000
165,,,857,16.942,390.326
182,,,858,7.813,504.005
183,,,859,4.060,673.858
183,,,860,7.459,565.573
184,,,861,0.461,404.665
184,,,862,2.365,467.965
747,,,863,1.514,395.054
757,,,864,2.500,378.863
191,,,865,5.049,2.942
185,,,866,3.038,527.137
193,,,867,4.095,453.563
749,,,868,2.516,275.229
758,,,869,8.040,378.225
186,,,870,5.641,316.788
756,,,871,2.395,292.276
760,,,872,2.229,318.893
759,,,873,6.165,279.645
191,,,874,2.212,229.855
191,,,875,3.827,110.329
191,,,876,3.040,225.164
191,,,877,1.442,24.519
191,,,878,1.086,179.275
194,,,879,3.949,504.005
192,,,880,1.934,381.009
192,,,881,0.643,305.085
181,,,882,1.885,794.654
195,,,883,14.400,305.085
179,,,884,6.452,517.994
179,,,885,1.219,363.653
179,,,886,2.234,402.911
178,,,887,1.048,496.668
178,,,888,1.500,455.243
180,,,889,5.143,804.128
176,,,890,8.129,876.668
169,,,891,15.361,920.139
168,,,892,6.099,917.732
170,,,893,1.363,1172.149
170,,,894,0.382,1297.250
177,,,895,14.277,586.619
175,,,896,3.824,967.206
173,,,897,2.414,967.206
173,,,898,4.223,1000.229
170,,,899,3.799,1151.487
174,,,900,0.813,892.266
138,,,901,7.726,1062.224
171,,,902,0.589,1149.441
172,,,903,22.064,1133.848
1,,,904,5.301,0.000
1,,,905,12.122,0.000
12,,,906,5.347,95.506
12,,,907,14.203,176.829
11,,,908,3.529,465.831
11,,,909,4.835,470.526
11,,,910,5.697,568.076
11,,,911,2.925,796.281
11,,,912,4.232,672.072
52,,,913,6.419,612.717
51,,,914,0.741,724.410
51,,,915,2.728,841.975
16,,,916,7.646,920.505
17,,,917,4.012,899.815
17,,,918,6.698,672.378
15,,,919,14.050,547.739
14,,,920,2.748,346.432
14,,,921,9.074,346.432
13,,,922,7.664,306.585
19,,,923,1.167,286.242
19,,,924,8.218,174.991
91,,,925,4.150,1094.184
91,,,926,1.362,954.137
91,,,927,2.124,1238.766
91,,,928,2.171,1273.902
91,,,929,2.533,1286.967
91,,,930,1.838,1337.824
51,,,931,10.249,716.235
50,,,932,7.070,820.599
60,,,933,0.151,521.523
54,,,934,19.908,535.404
63,,,935,1.579,474.835
63,,,936,1.731,572.788
63,,,937,1.078,480.194
63,,,938,2.542,556.156
63,,,939,0.737,730.679
63,,,940,0.659,780.971
63,,,941,0.254,836.700
63,,,942,0.531,805.291
60,,,943,0.874,515.013
64,,,944,4.289,469.765
64,,,945,5.012,576.121
62,,,946,2.013,636.297
62,,,947,2.697,713.784
62,,,948,2.805,800.492
63,,,949,5.267,675.781
83,,,950,25.507,417.450
126,,,951,2.343,955.577
128,,,952,3.762,935.959
129,,,953,3.723,886.803
84,,,954,3.836,852.836
20,,,955,13.201,184.952
20,,,956,5.925,0.000
20,,,957,4.090,0.000
20,,,958,4.673,0.000
20,,,959,4.996,403.522
20,,,960,4.851,0.000
20,,,961,5.206,92.415
35,,,962,5.673,539.429
46,,,963,2.318,1028.731
18,,,964,4.222,722.197
18,,,965,1.347,481.733
18,,,966,7.565,440.331
35,,,967,1.660,657.985
46,,,968,2.480,978.718
47,,,969,2.505,1251.849
47,,,970,12.093,1005.398
48,,,971,2.788,1046.176
49,,,972,7.898,935.781
94,,,973,1.217,1265.592
94,,,974,1.100,1319.952
94,,,975,2.425,1271.543
94,,,976,3.026,1292.023
48,,,977,2.333,1130.948
48,,,978,2.723,1192.646
