plot,sub,flag,pid,area_ac,bnd_km
102,,,284,6.916,0.566
101,,,285,8.627,0.442
73,,,286,8.234,0.419
99,,,287,7.462,0.408
100,,,288,5.845,0.523
104,,,289,9.393,0.787
105,,,290,6.976,0.978
N/A,,Unknown Plot #,291,0.545,0.171
327,,,292,2.318,0.127
N/A,,Unknown Plot #,293,0.566,0.061
322,,,294,2.187,0.221
319,,,295,4.001,0.222
364,,,296,6.342,0.301
N/A,,Unknown Plot #,297,0.456,0.463
366,,,298,4.265,0.470
368,,,299,1.857,0.717
367,,,300,2.508,0.557
391,,,301,10.731,0.564
390,,,302,3.091,0.798
389,,,303,2.895,0.856
388,,,304,1.646,0.873
N/A,,Unknown Plot #,305,1.029,0.092
333,,,306,1.501,0.064
334,,,307,2.235,0.000
335,,,308,1.882,0.000
336,,,309,1.592,0.000
N/A,,Unknown Plot #,310,2.005,0.185
328,,,311,0.988,0.183
N/A,,Unknown Plot #,312,1.051,0.395
321,,,313,3.207,0.273
N/A,,Unknown Plot #,314,0.399,0.517
N/A,,Unknown Plot #,315,0.682,0.503
361,,,316,1.000,0.379
337,,,317,3.463,0.146
339,,,318,2.535,0.318
343,,,319,1.382,0.284
342,,,320,1.890,0.248
345,,,321,14.826,0.000
341,,,322,1.907,0.207
340,,,323,2.914,0.217
346,,,324,18.082,0.000
329,,,325,15.387,0.167
358,,,326,1.603,0.445
357,,,327,2.282,0.379
362,,,328,2.743,0.455
372,,,329,0.933,0.573
374,,,330,1.320,0.534
N/A,,Unknown Plot #,331,1.193,0.654
379,,,332,3.396,0.716
373,,,333,2.501,0.642
N/A,,Unknown Plot #,334,1.850,0.665
65,,,335,8.142,0.000
64,,,336,4.821,0.000
63,,,337,11.379,0.139
60,,,338,10.417,0.403
59,,,339,5.711,0.448
62,,,340,8.714,0.229
61,,,341,9.926,0.151
442,,,342,13.649,0.000
443,,,343,9.506,0.000
444,,,344,11.861,0.180
445,,,345,11.460,0.000
N/A,,Unknown Plot #,346,0.625,0.000
441,,,347,14.464,0.183
440,,,348,1.846,0.543
347,,,349,14.976,0.000
349,,,350,2.355,0.311
348,,,351,5.281,0.229
N/A,,Unknown Plot #,352,1.359,0.383
375,,,353,2.856,0.577
N/A,,Unknown Plot #,354,2.679,0.518
N/A,,Unknown Plot #,355,0.861,0.592
377,,,356,0.819,0.584
355,,,357,1.601,0.484
354,,,358,1.085,0.532
352,,,359,0.727,0.527
381,,,360,1.769,0.607
351,,,361,8.239,0.325
459,,,362,2.199,0.065
461,,,363,1.105,0.000
460,,,364,1.076,0.038
458,,,365,0.889,0.190
455,,,366,1.657,0.234
457,,,367,2.004,0.107
456,,,368,1.794,0.159
453,,,369,1.314,0.314
452,,,370,1.452,0.405
451,,,371,3.035,0.358
450,,,372,1.997,0.507
449,,,373,2.287,0.462
462,,,374,2.581,0.000
464,,,375,3.089,0.005
N/A,,Unknown Plot #,376,0.707,0.000
453,,,377,13.666,0.038
46,,,378,3.210,0.071
466,,,379,2.676,0.211
467,,,380,1.227,0.270
468,,,381,2.641,0.148
477,,,382,5.924,0.000
N/A,,Unknown Plot #,383,2.343,0.131
478,,,384,1.550,0.000
N/A,,Unknown Plot #,385,0.673,0.000
438,,,386,4.636,0.359
439,,,387,5.435,0.462
437,,,388,15.040,0.373
N/A,,Unknown Plot #,389,0.576,0.791
N/A,,Unknown Plot #,390,3.167,0.981
380,,,391,1.636,0.701
382,,,392,1.295,0.614
N/A,,Unknown Plot #,393,0.524,0.651
385,,,394,2.161,0.716
N/A,,Unknown Plot #,395,1.121,0.836
N/A,,Unknown Plot #,396,1.415,0.750
384,,,397,2.006,0.614
401,,,398,2.407,0.886
N/A,,Unknown Plot #,399,0.446,0.844
446,,,400,13.173,0.232
434,,,401,0.643,0.699
435,,,402,6.183,0.620
N/A,,Unknown Plot #,403,0.742,0.737
433,,,404,1.396,0.694
429,,,405,3.394,0.820
N/A,,Unknown Plot #,406,2.666,0.734
427,,,407,1.697,0.791
436,,,408,6.970,0.647
N/A,,Unknown Plot #,409,1.673,0.795
403,,,410,0.422,0.873
404,,,411,2.404,0.944
406,,,412,1.246,1.128
414,,,413,3.157,1.258
N/A,,Unknown Plot #,414,0.370,1.338
405,,,415,3.681,1.029
N/A,,Unknown Plot #,416,2.325,1.167
416,,,417,1.309,1.272
419,,,418,1.454,1.132
422,,,419,1.875,0.959
421,,,420,1.321,1.001
420,,,421,2.361,1.018
423,,,422,3.313,0.887
N/A,,Unknown Plot #,423,1.062,0.844
424,,,424,2.279,0.930
425,,,425,1.895,0.823
598,,,426,10.598,0.473
479,,,427,1.799,0.000
480,,,428,8.024,0.000
481,,,429,5.756,0.000
476,,,430,6.816,0.030
627,,,431,8.728,1.383
13,,,432,2.437,1.251
15,,,433,1.439,1.263
14,,,434,1.356,1.349
N/A,,Unknown Plot #,435,2.138,1.387
526,,,436,2.216,1.327
525,,,437,2.119,1.253
624,,,438,3.936,1.217
N/A,,Unknown Plot #,439,1.431,1.314
623,,,440,0.666,1.239
622,,,441,2.978,1.090
600,,,442,1.104,0.958
601,,,443,2.175,0.958
